ID,Timestamp,Brand,Type
582,9/8/2022,Samsung,PAID
583,9/8/2022,Xiaomi,PAID
584,9/8/2022,Samsung,PAID
585,9/8/2022,Infinix,PAID
586,9/8/2022,Infinix,PAID
587,9/8/2022,Samsung,PAID
588,9/8/2022,Samsung,PAID
589,9/8/2022,Nokia,PAID
590,9/8/2022,Samsung,PAID
591,9/8/2022,Samsung,PAID
592,9/8/2022,Infinix,PAID
593,9/8/2022,Samsung,PAID
594,9/8/2022,Samsung,PAID
595,9/8/2022,Samsung,PAID
596,9/8/2022,Xiaomi,PAID
597,9/8/2022,OPPO,PAID
598,9/8/2022,Samsung,PAID
599,9/8/2022,OPPO,PAID
600,9/8/2022,Samsung,PAID
601,9/8/2022,Tecno,PAID
602,9/8/2022,Samsung,PAID
603,9/8/2022,Samsung,PAID
604,9/8/2022,Samsung,PAID
605,9/8/2022,Xiaomi,PAID
606,9/8/2022,Xiaomi,PAID
607,9/8/2022,Xiaomi,PAID
609,9/8/2022,Nokia,PAID
610,9/8/2022,Xiaomi,PAID
611,9/8/2022,Samsung,PAID
612,9/8/2022,Samsung,PAID
613,9/8/2022,Xiaomi,PAID
614,9/8/2022,Samsung,PAID
615,9/8/2022,Xiaomi,PAID
616,9/8/2022,Xiaomi,PAID
617,9/8/2022,Samsung,PAID
618,9/8/2022,Samsung,PAID
619,9/8/2022,Xiaomi,PAID
620,9/8/2022,Infinix,PAID
622,9/8/2022,OPPO,PAID
623,9/8/2022,Xiaomi,PAID
624,9/8/2022,Realme,PAID
625,9/8/2022,Tecno,PAID
626,9/8/2022,Samsung,PAID
627,9/8/2022,Samsung,PAID
631,9/8/2022,Infinix,PAID
632,9/8/2022,Samsung,PAID
633,9/8/2022,Nokia,PAID
635,9/8/2022,Samsung,PAID
636,9/8/2022,Vivo,PAID
638,9/8/2022,Realme,PAID
639,9/8/2022,Nokia,PAID
640,9/8/2022,Realme,PAID
641,9/8/2022,Realme,PAID
642,9/8/2022,Xiaomi,PAID
643,9/8/2022,OPPO,PAID
644,9/8/2022,OPPO,PAID
645,9/8/2022,OPPO,PAID
646,9/8/2022,Vivo,PAID
647,9/8/2022,Nokia,PAID
648,9/8/2022,OPPO,PAID
649,9/8/2022,Samsung,PAID
650,9/8/2022,Samsung,PAID
651,9/8/2022,OPPO,PAID
652,9/8/2022,Realme,PAID
653,9/8/2022,OPPO,PAID
654,9/8/2022,Realme,PAID
637,9/8/2022,Samsung,PAID
630,9/8/2022,Samsung,PAID
634,9/8/2022,Samsung,PAID
655,9/8/2022,OPPO,PAID
656,9/8/2022,OPPO,PAID
628,9/8/2022,Xiaomi,PAID
657,9/8/2022,Realme,PAID
658,9/8/2022,Realme,PAID
659,9/8/2022,OPPO,PAID
660,9/8/2022,OPPO,PAID
661,9/8/2022,Nokia,PAID
662,9/8/2022,OPPO,PAID
663,9/8/2022,Nokia,PAID
664,9/8/2022,Realme,PAID
665,9/8/2022,Realme,PAID
666,9/8/2022,OPPO,PAID
667,9/8/2022,Nokia,PAID
668,9/8/2022,Nokia,PAID
669,9/8/2022,Tecno,PAID
670,9/8/2022,Nokia,PAID
671,9/8/2022,Nokia,PAID
672,9/8/2022,Tecno,PAID
711,9/10/2022,Huawei,ORGANIC
674,9/8/2022,Samsung,PAID
676,9/8/2022,Xiaomi,PAID
677,9/8/2022,Itel,PAID
678,9/8/2022,Xiaomi,PAID
681,9/8/2022,Xiaomi,PAID
608,9/8/2022,Samsung,PAID
702,9/9/2022,Tecno,ORGANIC
683,9/9/2022,Samsung,PAID
621,9/8/2022,Xiaomi,PAID
685,9/9/2022,Huawei,PAID
686,9/9/2022,Samsung,ORGANIC
687,9/9/2022,Samsung,ORGANIC
689,9/9/2022,Huawei,ORGANIC
690,9/9/2022,Samsung,ORGANIC
691,9/9/2022,Itel,ORGANIC
688,9/9/2022,Samsung,ORGANIC
692,9/9/2022,Itel,ORGANIC
693,9/9/2022,Samsung,ORGANIC
680,9/8/2022,Xiaomi,PAID
694,9/9/2022,Samsung,ORGANIC
695,9/9/2022,OPPO,ORGANIC
696,9/9/2022,Xiaomi,PAID
697,9/9/2022,Xiaomi,ORGANIC
698,9/9/2022,Itel,PAID
703,9/9/2022,Samsung,ORGANIC
700,9/9/2022,Samsung,ORGANIC
701,9/9/2022,OPPO,ORGANIC
709,9/10/2022,Tecno,ORGANIC
704,9/9/2022,Tecno,PAID
705,9/9/2022,Tecno,PAID
706,9/9/2022,Tecno,PAID
707,9/9/2022,Samsung,ORGANIC
708,9/9/2022,Huawei,ORGANIC
682,9/9/2022,Xiaomi,PAID
675,9/8/2022,Tecno,PAID
710,9/10/2022,Huawei,ORGANIC
713,9/10/2022,Samsung,PAID
714,9/10/2022,Xiaomi,PAID
684,9/9/2022,OPPO,PAID
699,9/9/2022,Huawei,PAID
712,9/10/2022,Samsung,PAID
715,9/11/2022,Samsung,PAID
716,9/12/2022,Xiaomi,PAID
